Alert ID,Ticker,Name,Description,Time,Webhook status
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:15:00Z,Webhook delivery failed — 400 Bad Request
4675702165,"CME_MINI:MES1!, 5m",ORB-BK v3.1,"{""ticker"":""MES"",""action"":""exit"",""price"":7434.5,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:15:00Z,Webhook successfully delivered
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:10:00Z,Webhook delivery failed — 400 Bad Request
4675702165,"CME_MINI:MES1!, 5m",ORB-BK v3.1,"{""ticker"":""MES"",""action"":""exit"",""price"":7434.75,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:10:00Z,Webhook successfully delivered
4675702165,"CME_MINI:MES1!, 5m",ORB-BK v3.1,"{""ticker"":""MES"",""action"":""exit"",""price"":7436,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:05:00Z,Webhook successfully delivered
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:00:00Z,Webhook delivery failed — 400 Bad Request
4675702165,"CME_MINI:MES1!, 5m",ORB-BK v3.1,"{""ticker"":""MES"",""action"":""exit"",""price"":7438.75,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:00:00Z,Webhook successfully delivered
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T19:55:00Z,Webhook delivery failed — 400 Bad Request
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T19:50:00Z,Webhook delivery failed — 400 Bad Request
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T19:45:00Z,Webhook delivery failed — 400 Bad Request
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T19:40:00Z,Webhook delivery failed — 400 Bad Request
4648863468,"CME_MINI:MNQ1!, 5m",MNQ ORB Breakout v4,"{""symbol"":""MNQ"",""action"":""exit"",""signalId"":""SESSION_END_EXIT""}",2026-05-11T19:35:00Z,Webhook delivery failed — 400 Bad Request
